date,ticker,group,ret_1d,ret_intraday,rs_to_spy,rs_rank_21d,rs_rank_252d,pp_volume,above_sma10,above_sma20,count_over_85,count_under_50,ratio_pct_dist_to_atr_pct
2025-10-24,AAPL,Leader,1.25,0.62,0.3876952722922112,0.9,0.6613546,0,Yes,Yes,28,79,3.73
2025-10-27,AAPL,Leader,2.28,1.48,0.3919077233983713,1,0.7211155,0,Yes,Yes,33,80,4.61
2025-10-28,AAPL,Leader,0.07,0.01,0.3911458463717871,0.95,0.7211155,0,Yes,Yes,26,91,4.53
2025-10-29,AAPL,Leader,0.26,0.16,0.39197542931858187,1,0.72908366,1,Yes,Yes,30,91,4.54
2025-10-30,AAPL,Leader,0.63,-0.22,0.39883257790991866,1,0.7968128,1,Yes,Yes,25,100,5.15
2025-10-31,AAPL,Leader,-0.38,-2.39,0.39601991677051873,0.95,0.7768924,0,Yes,Yes,33,90,4.47
2025-11-03,AAPL,Leader,-0.49,-0.51,0.39334828490165946,0.9,0.749004,0,Yes,Yes,28,101,3.98
2025-11-04,AAPL,Leader,0.37,0.64,0.39953151853489133,1,0.81673306,0,Yes,Yes,10,114,4.03
2025-11-05,AAPL,Leader,0.04,0.57,0.3982991914882375,0.9,0.7968128,0,Yes,Yes,21,110,3.85
2025-11-06,AAPL,Leader,-0.14,0.7,0.4020675849597947,1,0.8286853,0,Yes,Yes,20,110,3.63
2025-11-07,AAPL,Leader,-0.48,-0.49,0.3997364653638762,0.95,0.812749,0,No,Yes,21,105,3.51
2025-11-10,AAPL,Leader,0.45,0.17,0.3953833059403616,0.7,0.75697213,0,No,Yes,21,104,3.47
2025-11-11,AAPL,Leader,2.16,2.02,0.40300146412884336,1,0.84462154,0,Yes,Yes,20,104,4.64
2025-11-12,AAPL,Leader,-0.65,-0.56,0.40017267113465427,0.9,0.812749,0,Yes,Yes,16,107,3.98
2025-11-13,AAPL,Leader,-0.19,-0.42,0.40615141955835965,1,0.8645418,0,Yes,Yes,16,109,3.74
2025-11-14,AAPL,Leader,-0.2,0.5,0.40541425446103024,0.95,0.8605578,0,Yes,Yes,14,106,3.47
2025-11-17,AAPL,Leader,-1.82,-0.5,0.401790677062208,0.8,0.80876493,0,No,No,17,111,2.12
2025-11-18,AAPL,Leader,-0.01,-0.94,0.4051630105441764,0.9,0.8565737,0,No,No,23,112,1.96
