date,ticker,group,open,close,high,low,volume,ingest_date,ma30,ma30_slope_pct,ma30_slope_signal,ma30_slope_signal_confirmed,price_to_ma_pct,price_vs_ma_signal,price_vs_ma_breakout,price_vs_ma_signal_confirmed,bench_close,rs_ratio,rs_slope_pct,rs_slope_signal,rs_slope_signal_confirmed,recent_avg_vol,vol_factor,recent_max_vol,vol_rank_pct,up_week,vol_on_up,vol_on_down,accumulation_score,breakout_volume_ok,accumulation_confirmed,distribution_confirmed,stage_score_core,stage_label_core,stage_reason
2025-06-09,AAPL,Leader,203.9595288234,196.0362514671,205.5661379599,195.2878310619,283877006,2025-11-29,222.19274820226673,-0.382136629577687,flat,flat,-11.77198488555348,below,false,below,593.5983426473,0.3302506718479492,-1.269138975931979,falling,falling,252016268.5,1.1264233364363143,675037558,0.42053512820985883,false,0,0,0,false,false,false,0.25,Stage 4, |  |  | 
2025-06-16,AAPL,Leader,196.8844612596,200.5766685919,201.2751943034,194.6591579215,224085074,2025-11-29,221.2502386167267,-0.39934039502726587,flat,flat,-9.343976374479615,below,false,below,592.6449232845,0.33844324098869044,-1.0300928511183731,falling,falling,239781471.75,0.9345387379790323,675037558,0.33195941669367085,true,0,0,0,false,false,false,0.25,Stage 4, |  |  | 
2025-06-23,AAPL,Leader,201.2003522629,200.6565001018,203.2410452344,198.5409650898,273391727,2025-11-29,220.06282470501,-0.40246859390966744,flat,flat,-8.818538355682664,below,false,below,613.21816278,0.3272187816357751,-0.661278939905248,falling,falling,252147895.25,1.0842514736398539,675037558,0.4050022458157802,true,0,0,0,false,false,false,0.25,Stage 4, |  |  | 
2025-06-30,AAPL,Leader,201.5845414042,213.1002367055,214.1979199664,198.8410317776,273599330,2025-11-29,219.10734876615666,-0.4258160332730983,flat,flat,-2.7416296598375487,below,false,below,623.6194661216,0.3417151777362053,-0.01706922705930933,flat,unconfirmed_flat,263738284.25,1.0373895120234142,675037558,0.4053097887036383,true,0,0,0,false,false,false,0.25,Stage 4, |  |  | 
2025-07-07,AAPL,Leader,212.2320690355,210.7152703476,215.7745922867,206.7835684856,226036726,2025-11-29,217.89682155705336,-0.46863142123925094,flat,flat,-3.2958494566993735,below,false,below,621.9041984565,0.3388227171814773,-0.1616749692900051,flat,unconfirmed_flat,249278214.25,0.9067648638292506,675037558,0.33485059212068313,false,0,0,0,false,false,false,0.25,Stage 4, |  |  | 
2025-07-14,AAPL,Leader,209.4828714137,210.7352282251,211.9526587508,207.1028945252,225669714,2025-11-29,216.47589851206337,-0.5145847230800883,falling,unconfirmed_falling,-2.6518750246201006,below,false,below,625.8533030809,0.3367166509910704,0.39158007503452985,flat,flat,249674374.25,0.9038561313226161,675037558,0.3343069008909872,true,0,0,0,false,false,false,0.2,Stage 4, |  |  | 
2025-07-21,AAPL,Leader,211.6532905888,213.4295416838,215.3255400436,211.1842804682,231062208,2025-11-29,215.1082816376567,-0.5552045518657966,falling,unconfirmed_falling,-0.7804162355238667,near,false,unconfirmed_near,635.3471101578,0.3359258872379083,-0.1487607637504145,flat,flat,239091994.5,0.966415494099699,675037558,0.34229533640260057,true,0,0,0,false,false,false,0.2,Stage 4, |  |  | 
2025-07-28,AAPL,Leader,213.5792257648,201.9537621375,214.3925092718,201.0756155287,319915158,2025-11-29,213.76399997873668,-0.5724569549370074,falling,falling,-5.524895605626507,below,false,unconfirmed_below,620.0094260356,0.32572692229666866,-0.09118421208272987,flat,flat,250670951.5,1.2762354636053632,675037558,0.4739220124993401,false,0,0,0,false,false,false,0.2,Stage 4, |  |  | 
2025-08-04,AAPL,Leader,204.0742866188,228.8669599082,230.5134847996,201.2502469566,431826281,2025-11-29,213.53286386674003,-0.5088359592508261,falling,falling,7.181141002740237,above,false,unconfirmed_above,635.4268900492,0.36017827305117545,1.0806131256612281,rising,unconfirmed_rising,302118340.25,1.429328258068239,675037558,0.6397070442708611,true,0,0,0,false,false,false,0.1,Stage 4, |  |  | 
2025-08-11,AAPL,Leader,227.700269198,231.3667310616,234.893327895,224.5433156587,295311911,2025-11-29,213.61303926905336,-0.3931936461843567,flat,unconfirmed_flat,8.311146104796173,above,false,unconfirmed_above,641.6696665515,0.360569843210799,1.2836875998296013,rising,unconfirmed_rising,319528889.5,0.9242103631446446,675037558,0.43747478566222237,true,0,0,0,false,false,false,0.1,Stage 4, |  |  | 
2025-08-18,AAPL,Leader,231.4766250139,227.5404234491,232.8952560347,223.5646600616,192241677,2025-11-29,213.80460817689334,-0.24679794411581268,flat,unconfirmed_flat,6.42447110440304,above,false,above,643.534521513,0.35357920335669746,1.0015870801752687,rising,rising,309823756.75,0.6204872054247338,675037558,0.2847866384939725,false,0,0,0,false,false,false,0.6,Stage 1, |  |  | 
2025-08-25,AAPL,Leader,226.2616574586,231.9162008232,233.1849764544,224.4733831436,194310890,2025-11-29,213.70332127994,-0.13062819776351406,flat,flat,8.522506545137912,above,false,above,643.2752368659,0.36052406113612967,1.464500047940667,rising,rising,278422689.75,0.6978989039092853,675037558,0.28785196867520074,true,0,0,0,false,false,false,0.7499999999999999,Stage 1, |  |  | 
2025-09-01,AAPL,Leader,229.0289869851,239.4589220957,241.0873506619,226.7511850643,212557180,2025-11-29,214.13122279556,0.034357779313622216,flat,flat,11.828120611967641,above,false,above,645.4592113931,0.3709900143478839,2.779204846321552,rising,rising,223605414.5,0.9505904876019896,675037558,0.3148820054246522,true,0,0,0,false,false,false,0.7499999999999999,Stage 1, |  |  | 
2025-09-08,AAPL,Leader,239.069298083,233.8443401683,239.9184786236,225.7321684156,304787017,2025-11-29,213.79989597835336,0.025010867814705996,flat,flat,9.375329252721468,above,false,above,655.6012300876,0.356686853892959,-0.193871725167629,flat,unconfirmed_flat,225974191,1.3487691477120942,675037558,0.4515111987294787,false,0,0,0,false,false,false,0.5499999999999999,Stage 3, |  |  | 
2025-09-15,AAPL,Leader,236.7715154437,245.2633208499,246.062549594,234.8034146613,360619530,2025-11-29,213.81764080699668,0.01915627797286434,flat,flat,14.706775326965602,above,false,above,663.7,0.3695394317461202,0.4975229462036479,flat,unconfirmed_flat,268068654.25,1.3452506448728143,675037558,0.5342214306837132,true,0,0,0,false,false,false,0.5499999999999999,Stage 3, |  |  | 
2025-09-22,AAPL,Leader,248.0606214543,255.2137187141,257.3516556046,247.8807949868,309374646,2025-11-29,214.29031974498668,0.0454350888163718,flat,flat,19.097175746349002,above,false,above,661.82,0.38562406502387353,1.8125987819961573,rising,unconfirmed_rising,296834593.25,1.0422459276484615,675037558,0.4583073079912985,true,0,0,0,false,false,false,0.5499999999999999,Stage 3, |  |  | 
2025-09-29,AAPL,Leader,254.314586377,257.7712506952,258.99007453,252.7660806852,218331739,2025-11-29,214.94027510752662,0.11576365029594084,flat,flat,19.926919497170395,above,false,above,669.21,0.38518738616458215,1.368193010515317,rising,unconfirmed_rising,298278233,0.7319734222778502,675037558,0.3234364316659252,true,0,0,0,false,false,false,0.5499999999999999,Stage 3, |  |  | 
2025-10-06,AAPL,Leader,257.7412796173,245.0335425859,258.8202384219,243.7647669547,213437899,2025-11-29,216.01546282458997,0.1759892839942291,flat,flat,13.433334531645743,above,false,above,653.02,0.375231298560381,0.22864681249991597,flat,unconfirmed_flat,275440953.5,0.7748952952996512,675037558,0.3161867017183065,false,0,0,0,false,false,false,0.5499999999999999,Stage 3, |  |  | 
2025-10-13,AAPL,Leader,249.1395802588,252.0467748155,253.1357239794,244.4640921058,196438474,2025-11-29,217.16562306710657,0.3148483373531645,flat,flat,16.062004315303057,above,false,above,664.39,0.3793656960753473,1.2716388022079546,rising,unconfirmed_rising,234395689.5,0.8380635088428109,675037558,0.2910037696006242,true,0,0,0,false,false,false,0.5499999999999999,Stage 3, |  |  | 
